Time (msec),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),Ignition Total Timing (degrees),Intake Air Temperature (F),Intake VVT Advance Angle Left (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
3988,0.2,2754,0,0,14.7,28,86,1,-9.58,1.64,0,0,18.5
4041,0.2,2746,0,0,14.7,28,86,1,-9.58,1.62,0,0,18.5
4093,0.2,2734,0,0,14.7,28,86,1,-9.58,1.62,0,0,18.5
4146,0.2,2734,0,0,14.7,28,86,1,-9.58,1.62,0,0,18.5
4198,0.2,2725,0,0,14.7,28,86,1,-9.58,1.6,0,0,18.5
4251,0.2,2700,0,0,14.7,28,86,1,-9.58,1.6,0,0,18.5
4304,0.2,2702,0,0,14.7,28,86,1,-9.72,1.62,0,0,18.5
4356,0.2,2690,0,0,14.7,28,86,1,-9.72,1.6,0,0,18.5
4408,0.2,2676,0,0,14.7,28,86,1,-9.72,1.62,0,0,18.5
4461,0.19,2676,0,0,14.7,28,86,1,-9.72,1.6,0,0,18.5
4513,0.19,2666,0,0,14.7,28,86,1,-9.72,1.6,0,0,18.5
4566,0.2,2647,0,0,14.7,28,86,1,-9.72,1.6,0,0,18.5
4618,0.19,2617,0,0,14.7,28,86,1,-9.72,1.58,0,0,18.5
4671,0.19,2621,0,0,14.7,28,86,1,-9.72,1.6,0,0,18.5
4724,0.19,2621,0,0,14.7,28,86,1,-9.72,1.58,0,0,18.5
4777,0.19,2614,0,0,14.7,28,86,1,-9.72,1.58,0,0,18.5
4828,0.19,2591,0,0,14.7,28,86,1,-9.72,1.58,0,0,18.5
4881,0.19,2581,0,0,14.7,28,86,1,-9.72,1.58,0,0,18.5
4934,0.19,2568,0,0,14.7,28,86,1,-9.72,1.58,0,0,18.5
4986,0.19,2568,0,0,14.7,28,86,1,-9.72,1.58,0,0,18.5
5039,0.19,2559,0,0,14.7,28,86,1,-9.72,1.58,0,0,18.5
5091,0.19,2568,0,0,14.7,28,86,1,-9.72,1.58,0,0,18.5
5144,0.19,2547,0,0,14.7,28,86,1,-9.72,1.58,0,0,18.5
5196,0.19,2524,0,0,14.7,28,86,1,-9.87,1.56,0,0,18.5
5250,0.19,2524,0,0,14.7,28,86,1,-9.87,1.56,0,0,18.5
5301,0.19,2530,0,0,14.7,28,86,1,-9.87,1.56,0,0,18.5
5354,0.19,2531,0,0,14.7,28,86,1,-9.87,1.58,0,0,18.5
5406,0.19,2525,0,0,14.7,28,86,1,-9.87,1.56,0,0,18.5
5459,0.19,2501,0,0,14.7,28,86,1,-9.87,1.56,0,0,18.5
5511,0.19,2501,0,0,14.7,28,86,1,-9.87,1.56,0,0,18.5
5565,0.19,2418,0,0,14.7,28,86,1,-9.87,1.56,0,0,18.5
5617,0.19,2344,0,0,14.7,16,86,1,-9.87,1.54,0,0,18.5
5670,0.19,2244,0,0,14.7,16,86,1,-9.72,1.52,0,0,18.5
5722,0.19,2167,0,0,14.7,16,86,1,-9.72,1.5,0,0,18.5
5774,0.19,2167,0,0,14.7,16,86,1,-9.58,1.48,0,0,18.5
5826,0.19,2093,0,0,14.7,16,86,1,-9.58,1.48,0,0,18.5
5879,0.19,1986,0,0,14.7,16,86,1,-9.58,1.46,0,0,18.5
5932,0.19,1908,0,0,14.7,16,86,1,-9.58,1.44,0,0,18.5
5984,0.19,1825,0,0,14.7,16,86,1,-9.58,1.42,0,0,18.5
6036,0.19,1825,0,0,14.7,16,86,1,-9.58,1.42,0,0,18.5
6090,0.19,1739,0,0,14.7,16,86,1,-9.58,1.42,0,0,18.5
6141,0.2,1648,0,0,14.7,16,86,1,-9.58,1.38,0,0,18.5
6194,0.2,1585,0,0,14.7,16,86,1,-9.58,1.38,0,0,18.5
6246,0.2,1502,0,0,14.7,16,86,1,-9.58,1.38,0,0,18.5
6298,0.2,1502,0,0,14.7,16,86,1,-9.58,1.36,0,0,18.5
6351,0.21,1430,0,0,14.7,16,86,1,-9.58,1.36,0,0,18.5
6403,0.22,1335,0,0,14.7,16,86,1,-9.43,1.38,0,0,18.5
6456,0.23,1252,0,0,13.62,24,86,2,-9.29,1.38,0,0,18.5
6509,0.24,1146,0,0,13.19,24,86,1,-9,1.4,0,0,18.5
6561,0.24,1146,0,0,12.94,24,86,2,-8.85,1.42,0,0,18.5
6613,0.27,1076,0,0,12.71,24,86,2,-8.85,1.42,0,0,18.5
6665,0.29,999,0,0,12.67,24,86,1,-8.56,1.42,0,0,18.5
6718,0.3,918,0,0,12.35,24,86,2,-7.98,1.46,0,0,18.5
6770,0.32,946,0,0,12.68,24,86,1,-7.55,1.48,0,0,18.5
6823,0.33,946,0,0,13.23,15.5,86,1,-7.25,1.44,0,0,18.5
6875,0.33,1038,0,0,14.67,15.5,86,1,-7.25,1.44,0,0,18.5
6928,0.32,1084,0,0,14.68,16,86,1,-7.4,1.4,0,0,18.5
6979,0.3,1127,0,0,15.42,13.5,86,1,-7.55,1.36,0,0,18.5
7033,0.28,1165,0,0,15.53,13.5,86,1,-7.84,1.34,0,0,18.5
7085,0.27,1165,0,0,15.48,13.5,86,1,-8.13,1.32,0,0,18.5
7137,0.26,1200,0,0,15.34,13.5,86,1,-8.13,1.32,0,0,18.5
7191,0.25,1202,0,0,15.24,13.5,86,1,-8.27,1.32,0,0,18.5
7242,0.24,1199,0,0,14.71,13.5,86,1,-8.56,1.32,0,0,18.5
7295,0.23,1201,0,0,14.71,13.5,86,1,-8.71,1.32,0,0,18.5
7347,0.23,1201,0,0,14.71,13.5,86,1,-8.85,1.32,0,0,18.5
7399,0.23,1196,0,0,14.71,13.5,86,1,-8.85,1.32,0,0,18.5
7453,0.23,1182,0,0,14.71,13.5,86,1,-8.85,1.32,0,0,18.5
7504,0.22,1174,0,0,14.71,15,86,1,-9,1.32,0,0,18.5
7557,0.22,1170,0,0,14.71,15.5,86,1,-9,1.32,0,0,18.5
7610,0.22,1170,0,0,14.71,16.5,86,1,-9,1.32,0,0,18.5
7662,0.22,1166,0,0,14.71,16.5,86,1,-9,1.32,0,0,18.5
7714,0.22,1148,0,0,14.71,19,86,1,-9,1.3,0,0,18.5
7766,0.22,1145,0,0,14.71,19.5,86,1,-9,1.3,0,0,17.3
7819,0.22,1139,0,0,14.71,20,86,1,-9,1.28,0,0,17.3
7872,0.22,1139,0,0,14.71,21,86,1,-9.14,1.3,0,0,17.3
7925,0.21,1134,0,0,14.71,21,86,1,-9.14,1.3,0,0,16.1
7976,0.21,1119,0,0,14.71,22.5,86,1,-9,1.28,0,0,16.1
8029,0.21,1110,0,0,14.71,23.5,86,1,-9.14,1.28,0,0,16.1
8081,0.21,1112,0,0,14.71,23.5,86,1,-9.14,1.26,0,0,15.7
8134,0.21,1112,0,0,14.71,23,86,1,-9.14,1.26,0,0,15.7
8186,0.2,1110,0,0,14.71,23,86,1,-9.14,1.26,0,0,15.7
8238,0.2,1104,0,0,14.71,23.5,86,1,-9.14,1.24,0,0,15.6
8291,0.2,1093,0,0,14.71,24.5,86,1,-9.14,1.24,0,0,15.6
8344,0.2,1087,0,0,14.71,25,86,1,-9.14,1.24,0,0,15.6
8396,0.2,1087,0,0,14.71,25,86,1,-9.29,1.24,0,0,15.4
8448,0.19,1086,0,0,14.71,25,86,1,-9.29,1.24,0,0,15.4
8501,0.19,1078,0,0,14.71,25,86,1,-9.29,1.24,0,0,15.4
8553,0.19,1070,0,0,14.71,26,86,1,-9.29,1.24,0,0,15.3
8606,0.19,1050,0,0,14.71,26.5,86,1,-9.29,1.24,0,0,15.3
8658,0.19,1050,0,0,14.71,28,86,1,-9.29,1.24,0,0,15.3
8710,0.19,1044,0,0,14.71,28,86,1,-9.29,1.24,0,0,15
8763,0.2,1034,0,0,14.71,28.5,86,1,-9.29,1.24,0,0,15
8815,0.2,1027,0,0,14.71,28.5,86,1,-9.29,1.24,0,0,15
8869,0.2,1027,0,0,14.71,28.5,86,1,-9.29,1.24,0,0,14.8
8921,0.2,1027,0,0,14.71,28,86,1,-9.29,1.24,0,0,14.8
8973,0.2,1022,0,0,14.71,28,86,1,-9.29,1.24,0,0,14.8
9025,0.2,1020,0,0,14.71,28,86,1,-9.14,1.24,0,0,14.5
9077,0.2,1020,0,0,14.71,27.5,86,1,-9.14,1.24,0,0,14.5
9130,0.2,1017,0,0,14.71,27.5,86,1,-9.14,1.24,0,0,14.5
9183,0.2,1017,0,0,14.71,28.5,86,1,-9.14,1.24,0,0,14.3
9235,0.2,999,0,0,14.71,28.5,86,1,-9.14,1.24,0,0,14.3
9288,0.2,993,0,0,14.71,28.5,86,1,-9.14,1.24,0,0,14.3
9340,0.21,989,0,0,14.71,28.5,86,1,-9.14,1.26,0,0,14
9393,0.21,986,0,0,14.71,28.5,86,1,-9.14,1.28,0,0,14
9444,0.22,986,0,0,14.71,28.5,86,1,-9,1.28,0,0,14
9497,0.22,985,0,0,14.7,28,86,1,-9,1.28,0,0,13.8
9549,0.22,984,0,0,14.7,28,86,1,-9,1.28,0,0,13.8
9602,0.22,996,0,0,14.7,26,86,1,-8.85,1.28,0,0,13.8
9655,0.23,1002,0,0,14.7,25,86,1,-8.85,1.28,0,0,13.7
9707,0.22,1002,0,0,14.7,25,86,1,-8.85,1.26,0,0,13.7
9759,0.22,1005,0,0,14.7,23.5,86,1,-8.85,1.24,0,0,13.7
9811,0.22,1010,0,0,14.7,23.5,86,1,-9,1.24,0,0,13.6
9865,0.21,1013,0,0,14.71,23.5,86,1,-9,1.24,0,0,13.6
9917,0.21,1010,0,0,14.71,23.5,86,1,-9.14,1.24,0,0,13.6
9970,0.21,1010,0,0,14.71,24.5,86,1,-9.14,1.24,0,0,13.6
10022,0.21,1001,0,0,14.71,24.5,86,1,-9.14,1.24,0,0,13.6
10075,0.21,999,0,0,14.71,24.5,86,1,-9.14,1.24,0,0,13.6
10127,0.21,991,0,0,14.71,25,86,1,-9.14,1.26,0,0,13.7
10179,0.21,990,0,0,14.71,25,86,1,-9.14,1.28,0,0,13.7
10232,0.22,990,0,0,14.7,25.5,86,1,-9,1.28,0,0,13.7
10284,0.22,989,0,0,14.7,25,86,1,-9,1.28,0,0,13.8
10337,0.22,986,0,0,14.7,25,86,1,-9,1.28,0,0,13.8
10390,0.23,985,0,0,14.7,25,86,1,-9,1.28,0,0,13.8
10442,0.23,990,0,0,14.7,23.5,86,1,-8.85,1.28,0,0,14
10495,0.23,990,0,0,14.7,23.5,86,1,-8.85,1.28,0,0,14
10547,0.23,990,0,0,14.7,22.5,86,1,-8.85,1.28,0,0,14
10599,0.23,997,0,0,14.7,22.5,86,1,-8.85,1.28,0,0,14
10651,0.23,998,0,0,14.7,22.5,86,1,-8.85,1.28,0,0,14
10704,0.23,994,0,0,14.7,22.5,86,1,-8.85,1.28,0,0,14
10756,0.23,994,0,0,14.7,22.5,86,1,-8.85,1.28,0,0,14
10808,0.23,996,0,0,14.7,22,86,1,-8.85,1.26,0,0,14
10861,0.23,1001,0,0,14.7,22,86,1,-8.85,1.26,0,0,13.8
10913,0.22,1001,0,0,14.7,22,86,1,-8.85,1.24,0,0,13.8
10966,0.23,1005,0,0,14.7,21.5,86,1,-8.85,1.24,0,0,13.8
11019,0.21,1005,0,0,14.7,21,86,1,-9,1.24,0,0,13.8
11071,0.21,1010,0,0,14.7,21,86,1,-9,1.24,0,0,13.8
11123,0.21,1006,0,0,14.71,21,86,1,-9,1.24,0,0,13.8
11175,0.21,1000,0,0,14.71,22,86,1,-9,1.24,0,0,13.8
11228,0.21,998,0,0,14.71,22,86,1,-9,1.26,0,0,13.9
11280,0.21,998,0,0,14.7,22.5,86,1,-9,1.28,0,0,13.9
11333,0.22,993,0,0,14.7,23,86,1,-9,1.28,0,0,14
11385,0.22,987,0,0,14.7,23,86,1,-9,1.28,0,0,14
11437,0.22,977,0,0,14.7,24,86,1,-8.85,1.28,0,0,14
11490,0.23,974,0,0,14.7,24,86,1,-8.85,1.28,0,0,14.1
11543,0.23,974,0,0,14.7,24.5,86,1,-8.85,1.28,0,0,14.1
11595,0.23,970,0,0,14.7,25,86,1,-8.85,1.28,0,0,14.1
11649,0.23,965,0,0,14.7,25,86,1,-8.85,1.28,0,0,14.2
11701,0.23,968,0,0,14.7,24,86,1,-8.85,1.28,0,0,14.2
11754,0.23,971,0,0,14.7,23.5,86,1,-8.85,1.28,0,0,14.2
11806,0.23,971,0,0,14.7,23.5,86,1,-8.71,1.28,0,0,14.3
11859,0.23,974,0,0,14.7,22.5,86,1,-8.71,1.28,0,0,14.3
11911,0.23,984,0,0,14.7,22.5,86,1,-8.71,1.28,0,0,14.3
11963,0.23,989,0,0,14.7,21,86,1,-8.71,1.28,0,0,14.4
12016,0.23,995,0,0,14.7,21,86,1,-8.71,1.28,0,0,14.4
12069,0.23,995,0,0,14.7,21,86,1,-8.71,1.28,0,0,14.4
12120,0.23,995,0,0,14.7,21,86,1,-8.71,1.28,0,0,14.6
12173,0.23,990,0,0,14.7,21,86,1,-8.71,1.28,0,0,14.6
12226,0.23,992,0,0,14.7,21,86,1,-8.71,1.28,0,0,14.6
12278,0.23,993,0,0,14.7,21,86,1,-8.71,1.28,0,0,14.8
12331,0.23,993,0,0,14.7,21.5,86,1,-8.85,1.26,0,0,14.8
12384,0.23,988,0,0,14.7,21,86,1,-8.85,1.28,0,0,14.8
12436,0.23,990,0,0,14.7,21,86,1,-8.71,1.28,0,0,14.9
12488,0.23,992,0,0,14.7,21,86,1,-8.71,1.28,0,0,14.9
12540,0.23,998,0,0,14.7,20.5,86,1,-8.71,1.26,0,0,14.9
12593,0.23,998,0,0,14.7,20,86,1,-8.85,1.26,0,0,14.9
12646,0.22,1002,0,0,14.7,20.5,86,1,-8.85,1.24,0,0,14.9
12698,0.23,1008,0,0,14.7,20.5,86,1,-8.85,1.24,0,0,14.9
12751,0.21,1013,0,0,14.7,19.5,86,1,-8.85,1.24,0,0,14.9
12803,0.21,1012,0,0,14.7,19.5,86,1,-8.85,1.24,0,0,14.9
12856,0.21,1012,0,0,14.71,19.5,86,1,-9,1.24,0,0,14.9
12907,0.21,1015,0,0,14.71,20,86,1,-9,1.24,0,0,14.9
12960,0.21,1011,0,0,14.71,20,86,1,-9,1.24,0,0,14.9
13013,0.2,1001,0,0,14.71,21,86,1,-9,1.24,0,1.57,14.9
13066,0.21,996,0,0,14.71,21.5,86,1,-9,1.28,0,5.49,14.8
13118,0.27,996,0,0,12.03,21.5,86,1,-8.27,1.62,0,6.67,14.8
13170,0.32,995,0,0,9.83,22.5,86,1,-8.27,1.78,0,7.45,14.8
13223,0.42,987,0,0,10.12,22.5,86,1,-6.96,1.78,0,7.45,14.8
13275,0.5,991,0,0,10.9,23.5,86,1,-5.66,1.82,0,7.45,14.8
13328,0.54,1127,0,0,12.17,25,86,1,-4.5,1.8,0,7.45,14.8
13380,0.56,1127,0,0,13.36,27,86,1,-4.21,1.82,0,7.45,14.8
13433,0.55,1246,0,0,14.56,30.5,86,1,-4.21,1.82,0,7.45,14.8
13486,0.54,1492,0,0,14.57,30.5,86,3,-4.21,1.82,0,7.45,14.8
13538,0.53,1657,0,0,14.89,13.5,86,7,-4.35,1.86,0,7.84,15.3
13590,0.51,1810,0,0,14.89,15,86,12,-4.79,1.9,0,7.84,15.3
13643,0.51,1954,0,0,14.9,16.5,86,13,-5.08,1.92,0,7.84,15.3
13695,0.5,1954,0,0,14.87,17.5,86,13,-5.08,1.94,0,8.24,14.1
13749,0.47,2123,0,0,14.62,17.5,86,12,-5.37,1.94,0,8.24,14.1
13801,0.46,2239,0,0,14.63,18,86,10,-5.51,1.98,0,8.24,14.1
13853,0.46,2306,0,0,14.64,38.5,86,8,-5.8,1.98,0,8.24,14.5
13906,0.47,2306,0,0,14.64,39,86,6,-6.09,2,0,8.24,14.5
13958,0.45,2394,0,0,14.65,39,86,6,-6.09,1.98,0,8.24,14.5
14011,0.44,2449,0,0,14.66,39,86,5,-6.24,1.98,0,8.24,15.1
14064,0.44,2470,0,0,14.66,39,86,5,-6.38,1.98,0,8.24,15.1
14116,0.43,2490,0,0,14.66,39.5,86,4,-6.38,2,0,8.24,15.1
14170,0.44,2484,0,0,14.66,39.5,86,3,-6.53,2,0,8.24,15
14221,0.44,2484,0,0,14.66,39.5,86,3,-6.53,1.98,0,8.24,15
14274,0.44,2435,0,0,14.66,39.5,86,3,-6.38,1.98,0,8.24,15
14326,0.45,2359,0,0,14.66,39,86,2,-6.38,2,0,8.24,14.8
14379,0.46,2302,0,0,14.66,39,86,2,-6.24,2,0,8.24,14.8
14431,0.46,2219,0,0,14.66,38.5,86,3,-6.09,1.98,0,8.24,14.8
14484,0.47,2219,0,0,14.66,38.5,86,3,-6.09,1.98,0,8.24,14.6
14537,0.46,2223,0,0,14.66,38.5,86,3,-5.8,1.98,0,8.24,14.6
14589,0.46,2270,0,0,14.66,38.5,86,4,-5.8,1.96,0,8.24,14.6
14641,0.46,2260,0,0,14.66,38.5,86,5,-5.8,2,0,8.24,14.3
14694,0.47,2232,0,0,14.67,38.5,86,5,-5.8,1.98,0,8.24,14.3
14746,0.47,2232,0,0,14.66,38,86,5,-5.8,1.98,0,8.24,14.3
14799,0.47,2244,0,0,14.67,38,86,5,-5.8,1.98,0,8.24,13.9
14851,0.47,2264,0,0,14.67,38,86,5,-5.8,2,0,8.24,13.9
14904,0.47,2237,0,0,14.67,38,86,5,-5.8,1.98,0,8.24,13.9
14957,0.47,2288,0,0,14.67,38.5,86,5,-5.8,2,0,8.24,14
15010,0.47,2288,0,0,14.68,38.5,86,5,-5.8,2,0,8.24,14
15061,0.47,2294,0,0,14.68,38.5,86,5,-5.95,2,0,8.24,14
15114,0.47,2286,0,0,14.68,38.5,86,5,-5.8,2,0,8.24,14.5
15167,0.47,2292,0,0,14.68,38,86,5,-5.8,2,0,8.24,14.5
15219,0.47,2315,0,0,14.68,38,86,6,-5.8,2,0,8.24,14.5
15271,0.47,2315,0,0,14.68,38,86,6,-5.8,2,0,7.06,14.7
15324,0.45,2290,0,0,14.92,38,86,6,-5.8,2,0,4.31,14.7
15376,0.39,2309,0,0,15.6,39,86,6,-6.38,1.86,0,4.31,14.7
15428,0.36,2297,0,0,15.51,40.5,86,6,-7.11,1.78,0,4.31,14.9
15482,0.34,2306,0,0,15.29,40,86,4,-7.55,1.74,0,3.14,14.9
15534,0.33,2306,0,0,15.32,40,86,4,-7.55,1.7,0,3.14,14.9
15586,0.29,2310,0,0,15.2,40,86,3,-7.98,1.7,0,0,14.6
15638,0.27,2329,0,0,15.38,40,86,1,-8.42,1.6,0,0,14.6
15691,0.27,2309,0,0,14.7,39,86,0,-8.71,1.66,0,0,13.6
15743,0.26,2295,0,0,14.7,37.5,86,0,-8.71,1.66,0,0,13.6
15796,0.26,2295,0,0,14.7,35.5,86,0,-8.85,1.64,0,0,13.6
15848,0.24,2257,0,0,15.02,35.5,86,0,-8.85,1.64,0,0,13.3
15900,0.23,2244,0,0,15.03,34,86,1,-9,1.6,0,0,13.3
15953,0.23,2269,0,0,15.06,32.5,86,1,-9.14,1.56,0,0,13.3
16005,0.2,2311,0,0,15.05,22.5,86,0,-9.29,1.54,0,0,13.3
16058,0.2,2311,0,0,14.7,29.5,86,1,-9.43,1.52,0,0,13.5
16111,0.19,2249,0,0,14.7,29.5,86,1,-9.43,1.52,0,0,13.5
16164,0.19,2222,0,0,14.7,28,86,0,-9.43,1.5,0,0.78,15.4
16216,0.19,2249,0,0,14.7,28,86,0,-9.43,1.54,0,1.57,15.4
16268,0.21,2254,0,0,14.7,30,86,1,-9.29,1.6,0,2.75,15.4
16320,0.23,2254,0,0,13.25,33,86,1,-9.29,1.66,0,3.53,18.5
16373,0.23,2194,0,0,13.36,33,86,1,-9,1.66,0,5.49,18.5
16425,0.28,2237,0,0,12.93,36,86,0,-8.71,1.72,0,7.84,18.5
16478,0.34,2251,0,0,12.24,39,86,1,-7.84,1.94,0,8.24,18.5
16531,0.41,2227,0,0,12.74,40,86,0,-7.11,1.98,0,8.24,18.5
16583,0.43,2227,0,0,13.5,40,86,0,-6.38,2,0,9.02,18.5
16636,0.46,2283,0,0,13.54,40,86,0,-6.38,2,0,10.59,18.5
16689,0.51,2239,0,0,13.12,39,86,1,-5.95,2.08,0,10.59,18.5
16740,0.55,2116,0,0,13.43,36.5,86,2,-4.93,2.1,0,10.98,18.5
16793,0.56,2206,0,0,14.24,35.5,86,4,-4.5,2.1,0,11.37,18.5
16846,0.57,2206,0,0,14.61,15.5,86,8,-4.35,2.12,0,11.37,18.5
16898,0.58,2280,0,0,14.21,15.5,86,8,-4.35,2.12,0,11.37,18.5
16950,0.59,2225,0,0,14.61,35.5,86,14,-4.35,2.12,0,11.37,16.3
17003,0.6,2196,0,0,14.61,35.5,86,15,-4.21,2.12,0,11.37,16.3
17055,0.6,2250,0,0,14.61,35.5,86,14,-4.06,2.14,0,11.37,16.3
